courseid|userid|created_stamp|INSTANCECODE
`0OOkqFV4`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0PbdkBaP`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Pf8vR1U`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1gtbO14j`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1gvgCQg8`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1gViy07T`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1gX4EHkR`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1gygkz2X`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1GzeXQgh`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1h00HayG`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1h2VlEWn`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1h6dPgDv`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1hC4yvV5`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1hdGmiRr`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1HIl64fN`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1hoATH9r`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1hUzkLLF`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1HxQkcUr`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1hZMByBf`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1ibQXyFY`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1iCgCVjB`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1iDdwf38`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1ifb8q53`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1ILYP6PB`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1IP8Yma7`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1iUxJO2w`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1iYvG8R5`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1JkHCMLf`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1jOYM68J`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1jqvUFdV`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1KbNrwDm`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1KBwm8se`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`1kFzaOMC`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
